"age","balance","duration","marital_married","marital_single","education_secondary","education_tertiary","education_unknown","housing","loan","poutcome_other","poutcome_success","poutcome_unknown","y"
58,2143,261,1,0,0,1,0,1,0,0,0,1,0
44,29,151,0,1,1,0,0,1,0,0,0,1,0
33,2,76,1,0,1,0,0,1,1,0,0,1,0
47,1506,92,1,0,0,0,1,1,0,0,0,1,0
33,1,198,0,1,0,0,1,0,0,0,0,1,0
35,231,139,1,0,0,1,0,1,0,0,0,1,0
28,447,217,0,1,0,1,0,1,1,0,0,1,0
42,2,380,0,0,0,1,0,1,0,0,0,1,0
58,121,50,1,0,0,0,0,1,0,0,0,1,0
43,593,55,0,1,1,0,0,1,0,0,0,1,0
41,270,222,0,0,1,0,0,1,0,0,0,1,0
29,390,137,0,1,1,0,0,1,0,0,0,1,0
53,6,517,1,0,1,0,0,1,0,0,0,1,0
58,71,71,1,0,0,0,1,1,0,0,0,1,0
57,162,174,1,0,1,0,0,1,0,0,0,1,0
51,229,353,1,0,0,0,0,1,0,0,0,1,0
45,13,98,0,1,0,0,1,1,0,0,0,1,0
57,52,38,1,0,0,0,0,1,0,0,0,1,0
60,60,219,1,0,0,0,0,1,0,0,0,1,0
33,0,54,1,0,1,0,0,1,0,0,0,1,0
28,723,262,1,0,1,0,0,1,1,0,0,1,0
56,779,164,1,0,0,1,0,1,0,0,0,1,0
32,23,160,0,1,0,0,0,1,1,0,0,1,0
25,50,342,1,0,1,0,0,1,0,0,0,1,0
40,0,181,1,0,0,0,0,1,1,0,0,1,0
44,-372,172,1,0,1,0,0,1,0,0,0,1,0
39,255,296,0,1,0,1,0,1,0,0,0,1,0
52,113,127,1,0,1,0,0,1,1,0,0,1,0
46,-246,255,0,1,1,0,0,1,0,0,0,1,0
36,265,348,0,1,1,0,0,1,1,0,0,1,0
57,839,225,1,0,1,0,0,0,1,0,0,1,0
49,378,230,1,0,0,1,0,1,0,0,0,1,0
60,39,208,1,0,1,0,0,1,1,0,0,1,0
59,0,226,1,0,1,0,0,1,0,0,0,1,0
51,10635,336,1,0,0,1,0,1,0,0,0,1,0
57,63,242,0,0,1,0,0,1,0,0,0,1,0
25,-7,365,1,0,1,0,0,1,0,0,0,1,0
53,-3,1666,1,0,1,0,0,0,0,0,0,1,0
36,506,577,0,0,1,0,0,1,0,0,0,1,0
37,0,137,0,1,1,0,0,1,0,0,0,1,0
44,2586,160,0,0,1,0,0,1,0,0,0,1,0
50,49,180,1,0,1,0,0,1,0,0,0,1,0
60,104,22,1,0,0,0,1,1,0,0,0,1,0
54,529,1492,1,0,1,0,0,1,0,0,0,1,0
58,96,616,1,0,0,0,1,1,0,0,0,1,0
36,-171,242,0,1,0,0,0,1,0,0,0,1,0
58,-364,355,1,0,0,1,0,1,0,0,0,1,0
44,0,225,1,0,1,0,0,1,0,0,0,1,0
55,0,160,0,0,1,0,0,0,0,0,0,1,0
29,0,363,0,1,0,1,0,1,0,0,0,1,0
54,1291,266,1,0,1,0,0,1,0,0,0,1,0
48,-244,253,0,0,0,1,0,1,0,0,0,1,0
32,0,179,1,0,0,1,0,1,0,0,0,1,0
42,-76,787,0,1,1,0,0,1,0,0,0,1,0
24,-103,145,0,1,1,0,0,1,1,0,0,1,0
38,243,174,0,1,0,1,0,0,1,0,0,1,0
38,424,104,0,1,0,1,0,1,0,0,0,1,0
47,306,13,1,0,0,0,1,1,0,0,0,1,0
40,24,185,0,1,0,0,1,1,0,0,0,1,0
46,179,1778,1,0,0,0,0,1,0,0,0,1,0
32,0,138,1,0,0,1,0,1,0,0,0,1,0
53,989,812,0,0,1,0,0,1,0,0,0,1,0
57,249,164,1,0,0,0,0,1,0,0,0,1,0
33,790,391,1,0,1,0,0,1,0,0,0,1,0
49,154,357,1,0,0,0,1,1,0,0,0,1,0
51,6530,91,1,0,0,1,0,1,0,0,0,1,0
60,100,528,1,0,0,1,0,0,0,0,0,1,0
59,59,273,0,0,0,1,0,1,0,0,0,1,0
55,1205,158,1,0,1,0,0,1,0,0,0,1,0
35,12223,177,0,1,1,0,0,1,1,0,0,1,0
57,5935,258,1,0,1,0,0,1,1,0,0,1,0
31,25,172,1,0,1,0,0,1,1,0,0,1,0
54,282,154,1,0,1,0,0,1,1,0,0,1,0
55,23,291,1,0,0,0,0,1,0,0,0,1,0
43,1937,181,1,0,1,0,0,1,0,0,0,1,0
53,384,176,1,0,1,0,0,1,0,0,0,1,0
44,582,211,1,0,1,0,0,0,1,0,0,1,0
55,91,349,0,0,1,0,0,0,0,0,0,1,0
49,0,272,0,0,1,0,0,1,1,0,0,1,0
55,1,208,0,0,1,0,0,1,0,0,0,1,0
45,206,193,0,1,1,0,0,1,0,0,0,1,0
47,164,212,0,0,1,0,0,0,0,0,0,1,0
42,690,20,0,1,1,0,0,1,0,0,0,1,0
59,2343,1042,1,0,1,0,0,1,0,0,0,1,1
46,137,246,1,0,0,1,0,1,1,0,0,1,0
51,173,529,1,0,0,0,0,1,0,0,0,1,0
56,45,1467,1,0,1,0,0,0,0,0,0,1,1
41,1270,1389,1,0,1,0,0,1,0,0,0,1,1
46,16,188,0,0,1,0,0,1,1,0,0,1,0
57,486,180,1,0,1,0,0,1,0,0,0,1,0
42,50,48,0,1,1,0,0,0,0,0,0,1,0
30,152,213,1,0,1,0,0,1,1,0,0,1,0
60,290,583,1,0,1,0,0,1,0,0,0,1,0
60,54,221,1,0,0,0,1,1,0,0,0,1,0
57,-37,173,0,0,1,0,0,0,0,0,0,1,0
36,101,426,1,0,0,1,0,1,1,0,0,1,0
55,383,287,1,0,1,0,0,0,0,0,0,1,0
